ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin
First Class,Corporate,United States,Henderson,Nevada,89015,West,Furniture,Furnishings,196.45,5,0,70.722,0.36
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,31.104,6,0.2,10.8864,0.35
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Storage,78.256,2,0.2,-17.6076,-0.225
Second Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Paper,6.48,1,0,3.1104,0.48
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,99.2,5,0,25.792,0.26
Standard Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,498.975,2,0.2,50.098,0.0625
Standard Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Tables,272.848,1,0.2,27.2848,0.1
Standard Class,Consumer,United States,Spokane,Washington,99207,West,Furniture,Tables,70.98,1,0,20.5842,0.29
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,16.224,2,0.2,5.8812,0.3625
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Furniture,Bookcases,176.784,1,0.2,-22.098,-0.125
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,470.376,3,0.2,47.0376,0.1
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,393.568,4,0.2,-39.7425,-0.1125
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Phones,302.376,3,0.2,22.6782,0.075
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,68.742,9,0.5,-39.7425,-0.35625
Same Day,Consumer,United States,New York City,New York,10011,East,Office Supplies,Envelopes,29.34,3,0,14.67,0.5
Same Day,Consumer,United States,New York City,New York,10011,East,Furniture,Chairs,383.607,7,0.1,63.9345,0.166666667
Same Day,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,498.975,4,0,67.608,0.12
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,217.056,7,0.2,70.8407,0.3625
Second Class,Consumer,United States,Keller,Texas,76248,Central,Office Supplies,Labels,6,2,0.2,2.1,0.35
Second Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,31.56,3,0,10.4148,0.33
First Class,Home Office,United States,Hialeah,Florida,33012,South,Office Supplies,Fasteners,7.104,2,0.2,2.3976,0.3375
First Class,Home Office,United States,Hialeah,Florida,33012,South,Office Supplies,Binders,398.352,8,0.5,-39.7425,-0.35625
First Class,Consumer,United States,Fairfield,Ohio,45014,East,Office Supplies,Appliances,121.792,4,0.2,13.7016,0.1125
First Class,Consumer,United States,Fairfield,Ohio,45014,East,Furniture,Tables,409.59,3,0.4,-39.7425,-0.3
Standard Class,Corporate,United States,Huntington Beach,California,92646,West,Office Supplies,Paper,10.56,2,0,4.752,0.45
Standard Class,Corporate,United States,Huntington Beach,California,92646,West,Office Supplies,Art,3.38,1,0,1.2506,0.37
Second Class,Consumer,United States,Port Orange,Florida,32127,South,Office Supplies,Envelopes,7.824,1,0.2,2.934,0.375
Standard Class,Consumer,United States,Medford,Oregon,97504,West,Office Supplies,Paper,24.784,1,0.2,7.745,0.3125
First Class,Consumer,United States,Charlottesville,Virginia,22901,South,Office Supplies,Art,34.65,3,0,10.395,0.3
Standard Class,Consumer,United States,Missoula,Montana,59801,West,Office Supplies,Binders,487.984,2,0.2,70.8407,0.3125
First Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,498.975,2,0,70.8407,0.47
Second Class,Consumer,United States,Miami,Florida,33178,South,Office Supplies,Envelopes,29.808,2,0.2,10.8054,0.3625
Second Class,Consumer,United States,Miami,Florida,33178,South,Office Supplies,Binders,498.975,4,0.5,-39.7425,-0.35625
Second Class,Consumer,United States,Miami,Florida,33178,South,Furniture,Tables,174.0585,3,0.45,-39.7425,-0.35625
Second Class,Consumer,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,191.88,6,0,19.188,0.1
First Class,Home Office,United States,Detroit,Michigan,48205,Central,Technology,Phones,14.78,2,0,3.9906,0.27
First Class,Corporate,United States,Springfield,Oregon,97477,West,Office Supplies,Paper,5.184,1,0.2,1.8144,0.35
First Class,Corporate,United States,Springfield,Oregon,97477,West,Furniture,Chairs,478.48,2,0.2,47.848,0.1
First Class,Corporate,United States,Springfield,Oregon,97477,West,Technology,Accessories,28.4,2,0.2,6.745,0.2375
First Class,Corporate,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,498.975,8,0,9.0912,0.01
Standard Class,Corporate,United States,Apopka,Florida,32712,South,Office Supplies,Binders,2.952,2,0.5,-2.1648,-0.35625
Standard Class,Corporate,United States,Apopka,Florida,32712,South,Office Supplies,Binders,27.018,6,0.5,-21.6144,-0.35625
First Class,Corporate,United States,Los Angeles,California,90008,West,Furniture,Furnishings,136.92,4,0,41.076,0.3
Standard Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings,18.96,2,0,8.532,0.45
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Technology,Accessories,99.39,3,0,40.7499,0.41
Second Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,273.896,7,0.2,70.8407,0.3375
Second Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Machines,498.975,3,0.4,49.761,0.083333333
First Class,Consumer,United States,Roswell,Georgia,30076,South,Technology,Accessories,149.95,5,0,65.978,0.44
Standard Class,Home Office,United States,Boynton Beach,Florida,33437,South,Office Supplies,Labels,4.608,2,0.2,1.6704,0.3625
Standard Class,Home Office,United States,Boynton Beach,Florida,33437,South,Office Supplies,Art,15.528,3,0.2,4.8525,0.3125
Standard Class,Home Office,United States,Boynton Beach,Florida,33437,South,Office Supplies,Labels,11.952,3,0.2,3.8844,0.325
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,East,Office Supplies,Art,11.65,5,0,3.3785,0.29
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,299.9,2,0,70.8407,0.25
First Class,Corporate,United States,Watertown,New York,13601,East,Office Supplies,Binders,498.975,5,0.2,70.8407,0.3375
First Class,Corporate,United States,Watertown,New York,13601,East,Furniture,Chairs,462.564,2,0.1,70.8407,0.211111111
Standard Class,Corporate,United States,Reading,Pennsylvania,19601,East,Office Supplies,Storage,15.008,2,0.2,1.5008,0.1
Second Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,Phones,498.975,9,0.2,70.8407,0.125
Second Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Art,47.616,3,0.2,3.5712,0.075
Second Class,Consumer,United States,San Diego,California,92024,West,Office Supplies,Paper,92.94,3,0,41.823,0.45
Standard Class,Corporate,United States,San Francisco,California,94110,West,Technology,Accessories,199.98,2,0,69.993,0.35
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Phones,177.48,3,0.2,19.9665,0.1125
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Paper,88.768,2,0.2,31.0688,0.35
Second Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Paper,6.48,1,0,3.1104,0.48
Second Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Storage,46.51,1,0,1.8604,0.04
Second Class,Home Office,United States,Seattle,Washington,98105,West,Technology,Phones,498.975,3,0.2,49.4982,0.075
Second Class,Consumer,United States,Scottsdale,Arizona,85254,West,Technology,Phones,271.992,1,0.2,23.7993,0.0875
Second Class,Consumer,United States,Lafayette,Louisiana,70506,South,Furniture,Bookcases,145.74,3,0,23.3184,0.16
Second Class,Consumer,United States,Lafayette,Louisiana,70506,South,Furniture,Furnishings,15.4,5,0,7.392,0.48
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,244.55,5,0,70.8407,0.47
Standard Class,Corporate,United States,San Francisco,California,94109,West,Technology,Accessories,166.16,8,0,59.8176,0.36
Second Class,Home Office,United States,San Francisco,California,94109,West,Furniture,Furnishings,14.73,3,0,4.8609,0.33
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Office Supplies,Binders,19.968,2,0.5,-13.312,-0.35625
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Office Supplies,Storage,33.488,7,0.2,-1.2558,-0.0375
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Office Supplies,Binders,8.736,4,0.5,-6.1152,-0.35625
Standard Class,Consumer,United States,Broomfield,Colorado,80020,West,Furniture,Chairs,498.975,3,0.2,70.8407,0.1125
First Class,Corporate,United States,Quincy,Illinois,62301,Central,Office Supplies,Labels,47.36,4,0.2,17.76,0.375
First Class,Corporate,United States,Quincy,Illinois,62301,Central,Office Supplies,Storage,27.44,2,0.2,2.401,0.0875
First Class,Corporate,United States,Quincy,Illinois,62301,Central,Office Supplies,Binders,3.24,9,0.5,-5.184,-0.35625
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Technology,Accessories,95.968,4,0.2,26.3912,0.275
Standard Class,Corporate,United States,Carrollton,Texas,75007,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,0.35
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,23.1,2,0,6.468,0.28
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Furnishings,11.54,2,0,3.462,0.3
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Tables,254.526,1,0.4,-39.7425,-0.35625
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Appliances,12.98,1,0,3.7642,0.29
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,26.432,8,0.2,8.9208,0.3375
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Phones,197.97,3,0,57.4113,0.29
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Labels,18.9,6,0,9.072,0.48
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Chairs,498.975,5,0.1,70.8407,0.166666667
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,4.92,3,0,2.214,0.45
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,238,2,0,38.08,0.16
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,167.97,3,0,40.3128,0.24
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Paper,17.12,4,0,7.704,0.45
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,16.2,3,0,7.776,0.48
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Appliances,33.99,3,0,14.6157,0.43
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Technology,Accessories,296.85,5,0,53.433,0.18
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Technology,Accessories,112.8,6,0,6.768,0.06
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,13.71,3,0,6.5808,0.48
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,24.9,5,0,11.703,0.47
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,286.29,3,0,17.1774,0.06
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Appliances,24.18,2,0,7.254,0.3
Standard Class,Consumer,United States,Paterson,New Jersey,7501,East,Technology,Phones,281.97,3,0,70.8407,0.28
Standard Class,Consumer,United States,Paterson,New Jersey,7501,East,Office Supplies,Supplies,69.5,5,0,20.155,0.29
Standard Class,Consumer,United States,Paterson,New Jersey,7501,East,Office Supplies,Paper,166.44,3,0,70.8407,0.48
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Technology,Accessories,291.96,4,0,70.8407,0.35
Standard Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,6.408,3,0.2,0.6408,0.1
Standard Class,Home Office,United States,Chicago,Illinois,60623,Central,Technology,Accessories,408.744,7,0.2,70.8407,0.1875
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,5.104,4,0.5,-8.6768,-0.35625
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Fasteners,2.896,2,0.2,0.4706,0.1625
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Accessories,35.016,3,0.2,-2.1885,-0.0625
Second Class,Corporate,United States,Montgomery,Alabama,36116,South,Office Supplies,Storage,275.97,3,0,11.0388,0.04
Second Class,Corporate,United States,Montgomery,Alabama,36116,South,Technology,Phones,498.975,5,0,70.8407,0.26
Second Class,Corporate,United States,Montgomery,Alabama,36116,South,Furniture,Chairs,498.975,6,0,70.8407,0.13
Standard Class,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Art,5.248,2,0.2,0.5904,0.1125
Same Day,Consumer,United States,Glendale,Arizona,85301,West,Furniture,Chairs,498.975,4,0.2,70.8407,0.1125
Same Day,Consumer,United States,Glendale,Arizona,85301,West,Office Supplies,Storage,42.976,4,0.2,4.2976,0.1
Second Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,3.76,2,0,1.8048,0.48
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,Technology,Phones,479.96,4,0,70.8407,0.28
Second Class,Corporate,United States,Brentwood,California,94513,West,Office Supplies,Appliances,320.88,6,0,70.8407,0.29
Second Class,Corporate,United States,Brentwood,California,94513,West,Furniture,Furnishings,23.88,3,0,10.5072,0.44
Second Class,Corporate,United States,Brentwood,California,94513,West,Office Supplies,Paper,26.76,4,0,12.3096,0.46
First Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Copiers,498.975,4,0.4,70.8407,0.133333333
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,17.22,3,0,7.9212,0.46
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Furniture,Tables,498.975,7,0,70.8407,0.21
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Envelopes,26.22,3,0,12.3234,0.47
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,17.34,3,0,8.4966,0.49
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,4.956,4,0.5,-3.7996,-0.35625
Standard Class,Home Office,United States,Springfield,Oregon,97477,West,Office Supplies,Labels,71.04,6,0.2,26.64,0.375
Standard Class,Home Office,United States,Springfield,Oregon,97477,West,Office Supplies,Art,5.344,2,0.2,0.7348,0.1375
Standard Class,Home Office,United States,Springfield,Oregon,97477,West,Office Supplies,Fasteners,11.304,3,0.2,-2.1195,-0.1875
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,294.62,5,0.5,-39.7425,-0.35625
Second Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,8.752,4,0.5,-3.7196,-0.35625
First Class,Corporate,United States,Chesapeake,Virginia,23320,South,Office Supplies,Labels,15,4,0,7.2,0.48
First Class,Corporate,United States,Chesapeake,Virginia,23320,South,Technology,Phones,161.61,1,0,42.0186,0.26
First Class,Corporate,United States,Chesapeake,Virginia,23320,South,Technology,Phones,144.95,5,0,42.0355,0.29
Standard Class,Consumer,United States,Pasadena,California,91104,West,Technology,Accessories,199.95,5,0,21.9945,0.11
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Art,41.86,7,0,14.2324,0.34
Second Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Storage,95.94,3,0,9.594,0.1
Second Class,Consumer,United States,Louisville,Kentucky,40214,South,Furniture,Chairs,304.45,5,0,70.8407,0.25
Standard Class,Home Office,United States,Lubbock,Texas,79424,Central,Office Supplies,Binders,11.364,3,0.5,-17.046,-0.35625
Standard Class,Corporate,United States,Columbia,Missouri,65203,Central,Office Supplies,Art,29.68,7,0,11.5752,0.39
Standard Class,Corporate,United States,Columbia,Missouri,65203,Central,Technology,Accessories,47.53,7,0,16.1602,0.34
First Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,183.372,2,0.3,-36.6744,-0.2
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Art,4.224,3,0.2,0.4752,0.1125
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Appliances,333.056,2,0.2,29.1424,0.0875
Standard Class,Consumer,United States,Johnson City,Tennessee,37604,South,Office Supplies,Paper,24.896,4,0.2,7.78,0.3125
Same Day,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,159.984,2,0.2,35.9964,0.225
Same Day,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Storage,46.344,3,0.2,4.6344,0.1
Standard Class,Consumer,United States,Auburn,Alabama,36830,South,Furniture,Chairs,350.98,1,0,70.8407,0.24
Standard Class,Consumer,United States,Auburn,Alabama,36830,South,Office Supplies,Paper,13.08,2,0,6.0168,0.46
Standard Class,Consumer,United States,Auburn,Alabama,36830,South,Office Supplies,Storage,498.975,4,0,70.8407,0.13
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Binders,17.568,2,0.2,6.3684,0.3625
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Labels,14.62,2,0,6.8714,0.47
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Supplies,33.36,4,0,8.6736,0.26
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Paper,40.14,6,0,19.6686,0.49
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,498.975,9,0,70.8407,0.3
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Paper,17.04,3,0,7.668,0.45
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Binders,49.53,3,0,23.7744,0.48
First Class,Home Office,United States,Providence,Rhode Island,2908,East,Furniture,Chairs,498.975,4,0,70.8407,0.28
Second Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Binders,239.12,5,0.2,70.8407,0.325
First Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Bookcases,141.96,2,0,39.7488,0.28
Second Class,Home Office,United States,Lancaster,California,93534,West,Office Supplies,Binders,33.024,2,0.2,11.5584,0.35
Second Class,Home Office,United States,Lancaster,California,93534,West,Office Supplies,Binders,67.136,4,0.2,23.4976,0.35
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Binders,14.73,3,0,6.9231,0.47
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Storage,104.9,5,0,25.176,0.24
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Binders,61.04,4,0,30.52,0.5
Standard Class,Corporate,United States,Leominster,Massachusetts,1453,East,Office Supplies,Paper,10.95,3,0,5.1465,0.47
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,9.392,2,0.2,3.2872,0.35
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Art,9.328,1,0.2,0.8162,0.0875
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Binders,8.26,2,0,3.8822,0.47
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Furniture,Chairs,269.97,3,0,51.2943,0.19
Standard Class,Home Office,United States,Bozeman,Montana,59715,West,Office Supplies,Paper,29.04,3,0,13.9392,0.48
Standard Class,Home Office,United States,Bozeman,Montana,59715,West,Office Supplies,Labels,14.62,2,0,6.8714,0.47
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Paper,11.952,3,0.2,4.3326,0.3625
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Binders,4.536,7,0.5,-3.3264,-0.35625
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Binders,9.156,2,0.5,-6.104,-0.35625
Standard Class,Home Office,United States,Peoria,Arizona,85345,West,Furniture,Furnishings,75.36,5,0.2,20.724,0.275
Standard Class,Corporate,United States,San Diego,California,92105,West,Office Supplies,Binders,57.504,6,0.2,20.1264,0.35
Standard Class,Corporate,United States,Lakewood,Ohio,44107,East,Office Supplies,Art,38.864,7,0.2,7.7728,0.2
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Appliances,162.64,2,0,45.5392,0.28
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861,East,Technology,Phones,498.975,3,0,70.8407,0.47
Standard Class,Corporate,United States,Perth Amboy,New Jersey,8861,East,Office Supplies,Paper,55.48,1,0,26.6304,0.48
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,289.8,7,0.2,36.225,0.125
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,2.502,3,0.5,-2.0016,-0.35625
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,6.48,4,0.5,-4.752,-0.35625
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,341.488,8,0.3,-39.7425,-0.214285714
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,11.12,5,0.2,0.834,0.075
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,25.344,6,0.2,3.4848,0.1375
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Furniture,Furnishings,17.31,3,0,5.193,0.3
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Technology,Accessories,199.95,5,0,63.984,0.32
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,Chairs,498.975,7,0,70.8407,0.26
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Technology,Accessories,84.99,1,0,30.5964,0.36
First Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,Tables,411.8,2,0,70.006,0.17
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Fasteners,11.34,3,0,5.2164,0.46
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,80.3,5,0,20.878,0.26
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Binders,15.968,2,0.2,5.3892,0.3375
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Paper,64.74,9.5,0,30.4278,0.47
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Binders,19.296,3,0.2,6.03,0.3125
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,405.64,4,0,12.1692,0.03
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Chairs,146.352,3,0.2,-9.147,-0.0625
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Technology,Accessories,251.91,9,0,47.8629,0.19
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Art,12.39,3,0,3.717,0.3
Standard Class,Consumer,United States,Pomona,California,91767,West,Technology,Accessories,199.96,4,0,69.986,0.35
Standard Class,Consumer,United States,Pomona,California,91767,West,Furniture,Tables,498.975,3,0.2,-39.7425,-0.1375
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,1.941,1,0.5,-1.294,-0.35625
Standard Class,Consumer,United States,Ontario,California,91761,West,Furniture,Chairs,283.92,5,0.2,-39.7425,-0.1625
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Binders,7.312,2,0.2,2.5592,0.35
Second Class,Home Office,United States,Brentwood,California,94513,West,Technology,Accessories,59.97,3,0,13.7931,0.23
Second Class,Home Office,United States,Brentwood,California,94513,West,Technology,Phones,498.975,7,0.2,66.6351,0.0875
Standard Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,58.2,3,0,28.518,0.49
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,39.9,5,0,19.95,0.5
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Appliances,90.86,7,0,26.3494,0.29
First Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,94.85,5,0,45.528,0.48
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Paper,106.232,7,0.2,37.1812,0.35
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Technology,Phones,111.984,2,0.2,11.1984,0.1
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Furnishings,7.712,2,0.2,1.7352,0.225
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Paper,37.44,6,0,16.848,0.45
Standard Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,Labels,23.68,2,0.2,8.88,0.375
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,122.12,4,0,56.1752,0.46
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,18.45,5,0,8.6715,0.47
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Storage,324.9,5,0,38.988,0.12
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,146.73,3,0,68.9631,0.47
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Fasteners,3.96,2,0,1.4652,0.37
Standard Class,Corporate,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Labels,5.76,2,0,2.6496,0.46
Standard Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,26.55,3,0,13.0095,0.49
Standard Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Tables,310.443,3,0.3,-39.7425,-0.157142857
Standard Class,Home Office,United States,Moorhead,Minnesota,56560,Central,Furniture,Chairs,479.9,5,0,70.8407,0.17
Second Class,Consumer,United States,Farmington,New Mexico,87401,West,Office Supplies,Supplies,12.88,1,0,0.3864,0.03
Standard Class,Consumer,United States,Wilmington,North Carolina,28403,South,Office Supplies,Art,13.12,5,0.2,1.476,0.1125
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Binders,498.975,8,0,70.8407,0.47
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Art,91.96,4,0,25.7488,0.28
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Art,8.34,3,0,2.1684,0.26
Standard Class,Consumer,United States,Portland,Oregon,97206,West,Office Supplies,Storage,37.68,3,0.2,2.355,0.0625
Standard Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Accessories,279.944,7,0.2,70.8407,0.2875
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Storage,498.975,3,0.2,-15.9102,-0.025
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Art,83.168,4,0.2,9.3564,0.1125
Same Day,Home Office,United States,Tucson,Arizona,85705,West,Furniture,Chairs,259.136,4,0.2,-25.9136,-0.1
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Paper,221.92,4,0,70.8407,0.48
Second Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26,2,0,11.7,0.45
Standard Class,Consumer,United States,Boynton Beach,Florida,33437,South,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35
Same Day,Corporate,United States,Mesquite,Texas,75150,Central,Office Supplies,Binders,0.876,1,0.5,-1.4016,-0.35625
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Paper,19.98,1,0,9.3906,0.47
Same Day,Consumer,United States,Redlands,California,92374,West,Office Supplies,Binders,398.352,3,0.2,70.8407,0.3125
